conn,suite,group,total_handshake_us,client_keygen_us,client_decap_us,key_schedule_us,sig_verify_us
217,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,674963.00,0.00,223.00,40.00,45557.00
218,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,308697.00,0.00,218.00,60.00,45142.00
219,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,355811.00,0.00,216.00,45.00,45740.00
220,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,208802.00,0.00,220.00,41.00,45622.00
221,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,208982.00,1.00,241.00,68.00,45107.00
222,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,224682.00,1.00,217.00,40.00,45278.00
223,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,508044.00,0.00,244.00,73.00,44997.00
224,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,220929.00,0.00,214.00,45.00,45810.00
225,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,212691.00,0.00,221.00,40.00,44894.00
226,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,388893.00,0.00,244.00,40.00,44872.00
227,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,262807.00,0.00,211.00,45.00,45385.00
228,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,355928.00,1.00,223.00,40.00,45484.00
229,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,496710.00,0.00,239.00,42.00,45521.00
230,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,286877.00,0.00,217.00,39.00,45320.00
231,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,216610.00,0.00,234.00,40.00,44921.00
232,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,213047.00,0.00,238.00,41.00,45342.00
233,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,211854.00,0.00,215.00,41.00,45234.00
234,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,634792.00,0.00,219.00,39.00,45784.00
