conn,suite,group,total_handshake_us,client_keygen_us,client_decap_us,key_schedule_us,sig_verify_us
182,TLS_AES_256_GCM_SHA384,X25519,43805.00,231.00,365.00,115.00,1324.00
183,TLS_AES_256_GCM_SHA384,X25519,44384.00,274.00,361.00,110.00,1152.00
184,TLS_AES_256_GCM_SHA384,X25519,44309.00,248.00,388.00,121.00,1124.00
185,TLS_AES_256_GCM_SHA384,X25519,44209.00,256.00,390.00,123.00,898.00
186,TLS_AES_256_GCM_SHA384,X25519,46748.00,249.00,326.00,134.00,673.00
187,TLS_AES_256_GCM_SHA384,X25519,43799.00,236.00,557.00,118.00,924.00
188,TLS_AES_256_GCM_SHA384,X25519,43835.00,197.00,328.00,97.00,770.00
189,TLS_AES_256_GCM_SHA384,X25519,43973.00,231.00,342.00,119.00,989.00
190,TLS_AES_256_GCM_SHA384,X25519,43994.00,217.00,328.00,109.00,891.00
191,TLS_AES_256_GCM_SHA384,X25519,43977.00,230.00,293.00,109.00,1241.00
192,TLS_AES_256_GCM_SHA384,X25519,44622.00,323.00,421.00,123.00,900.00
193,TLS_AES_256_GCM_SHA384,X25519,44807.00,272.00,375.00,183.00,1251.00
194,TLS_AES_256_GCM_SHA384,X25519,44617.00,256.00,531.00,181.00,1194.00
195,TLS_AES_256_GCM_SHA384,X25519,44603.00,235.00,296.00,100.00,1048.00
196,TLS_AES_256_GCM_SHA384,X25519,44330.00,243.00,350.00,111.00,949.00
197,TLS_AES_256_GCM_SHA384,X25519,44541.00,256.00,542.00,181.00,976.00
198,TLS_AES_256_GCM_SHA384,X25519,45429.00,263.00,429.00,146.00,1168.00
199,TLS_AES_256_GCM_SHA384,X25519,44764.00,293.00,514.00,151.00,1282.00
200,TLS_AES_256_GCM_SHA384,X25519,45652.00,449.00,600.00,185.00,1480.00
201,TLS_AES_256_GCM_SHA384,X25519,45225.00,321.00,452.00,159.00,1285.00
202,TLS_AES_256_GCM_SHA384,X25519,44249.00,293.00,347.00,122.00,1118.00
203,TLS_AES_256_GCM_SHA384,X25519,44965.00,286.00,412.00,124.00,1118.00
204,TLS_AES_256_GCM_SHA384,X25519,44504.00,244.00,502.00,135.00,997.00
205,TLS_AES_256_GCM_SHA384,X25519,44337.00,201.00,400.00,212.00,1126.00
206,TLS_AES_256_GCM_SHA384,X25519,45591.00,329.00,555.00,148.00,1281.00
207,TLS_AES_256_GCM_SHA384,X25519,45755.00,366.00,526.00,159.00,1528.00
208,TLS_AES_256_GCM_SHA384,X25519,44298.00,347.00,389.00,124.00,1043.00
209,TLS_AES_256_GCM_SHA384,X25519,43872.00,226.00,311.00,109.00,975.00
210,TLS_AES_256_GCM_SHA384,X25519,43892.00,227.00,290.00,108.00,950.00
211,TLS_AES_256_GCM_SHA384,X25519,43813.00,256.00,343.00,123.00,939.00
212,TLS_AES_256_GCM_SHA384,X25519,45047.00,416.00,397.00,125.00,1172.00
213,TLS_AES_256_GCM_SHA384,X25519,45236.00,324.00,397.00,131.00,1232.00
214,TLS_AES_256_GCM_SHA384,X25519,43932.00,248.00,344.00,122.00,894.00
215,TLS_AES_256_GCM_SHA384,X25519,43734.00,218.00,305.00,108.00,919.00
216,TLS_AES_256_GCM_SHA384,X25519,44994.00,257.00,480.00,130.00,1277.00
217,TLS_AES_256_GCM_SHA384,X25519,44868.00,295.00,539.00,152.00,1335.00
218,TLS_AES_256_GCM_SHA384,X25519,43932.00,201.00,398.00,121.00,1157.00
219,TLS_AES_256_GCM_SHA384,X25519,45024.00,200.00,399.00,123.00,1666.00
220,TLS_AES_256_GCM_SHA384,X25519,46093.00,407.00,414.00,143.00,1324.00
221,TLS_AES_256_GCM_SHA384,X25519,45456.00,524.00,508.00,152.00,1291.00
222,TLS_AES_256_GCM_SHA384,X25519,44849.00,283.00,411.00,124.00,1175.00
223,TLS_AES_256_GCM_SHA384,X25519,45003.00,340.00,485.00,135.00,1474.00
224,TLS_AES_256_GCM_SHA384,X25519,45545.00,423.00,518.00,162.00,1660.00
225,TLS_AES_256_GCM_SHA384,X25519,45172.00,523.00,424.00,129.00,1146.00
226,TLS_AES_256_GCM_SHA384,X25519,44611.00,202.00,382.00,123.00,1319.00
227,TLS_AES_256_GCM_SHA384,X25519,44770.00,252.00,466.00,124.00,1252.00
228,TLS_AES_256_GCM_SHA384,X25519,44043.00,206.00,367.00,135.00,1067.00
229,TLS_AES_256_GCM_SHA384,X25519,43950.00,248.00,397.00,116.00,1132.00
230,TLS_AES_256_GCM_SHA384,X25519,43905.00,200.00,400.00,147.00,1204.00
231,TLS_AES_256_GCM_SHA384,X25519,43781.00,202.00,396.00,120.00,1183.00
232,TLS_AES_256_GCM_SHA384,X25519,45051.00,278.00,444.00,136.00,1368.00
233,TLS_AES_256_GCM_SHA384,X25519,44930.00,251.00,488.00,152.00,1539.00
234,TLS_AES_256_GCM_SHA384,X25519,44912.00,244.00,439.00,163.00,1394.00
235,TLS_AES_256_GCM_SHA384,X25519,44773.00,312.00,514.00,148.00,1345.00
236,TLS_AES_256_GCM_SHA384,X25519,45124.00,277.00,354.00,112.00,1095.00
237,TLS_AES_256_GCM_SHA384,X25519,44440.00,283.00,578.00,153.00,1105.00
238,TLS_AES_256_GCM_SHA384,X25519,44332.00,390.00,323.00,105.00,893.00
239,TLS_AES_256_GCM_SHA384,X25519,44814.00,283.00,574.00,160.00,1242.00
240,TLS_AES_256_GCM_SHA384,X25519,44521.00,292.00,367.00,129.00,1028.00
241,TLS_AES_256_GCM_SHA384,X25519,44701.00,293.00,399.00,124.00,1186.00
242,TLS_AES_256_GCM_SHA384,X25519,44967.00,290.00,538.00,189.00,1130.00
243,TLS_AES_256_GCM_SHA384,X25519,45986.00,344.00,512.00,160.00,1552.00
244,TLS_AES_256_GCM_SHA384,X25519,44675.00,306.00,523.00,217.00,1378.00
245,TLS_AES_256_GCM_SHA384,X25519,44908.00,278.00,552.00,151.00,1624.00
246,TLS_AES_256_GCM_SHA384,X25519,44153.00,217.00,302.00,112.00,877.00
247,TLS_AES_256_GCM_SHA384,X25519,45263.00,522.00,343.00,150.00,1168.00
248,TLS_AES_256_GCM_SHA384,X25519,44992.00,293.00,415.00,142.00,1125.00
